Id,Name,Type,Address
3585b686-752a-4e7c-bb65-6e63299e01ef,북부역5호점 센트럴10호점,북부역5호점,폴바셋
59952f01-230e-4030-90a9-48caefe42108,남부역11호점 롯데캐슬13호점,남부역11호점,투썸플레이스
90eb214d-0cda-4acd-9c45-bf2fa0e1a31b,SK뷰7호점 힐스테이트6호점,SK뷰7호점,투썸플레이스
4e2d9ab5-e16c-430f-9484-b27f0b1db6e1,5호점 남부8호점,5호점,메가MGC커피
d016b708-5ca6-458b-af9b-e07139f4638c,롯데캐슬3호점 롯데캐슬9호점,롯데캐슬3호점,스타벅스
6d19e2ba-c229-4373-bda1-8e11d151226b,중앙역6호점 중앙역7호점,중앙역6호점,폴바셋
241c95db-61c0-4232-90dd-5ee5c8d59170,14호점 래미안3호점,14호점,메가MGC커피
68013448-5eb9-4228-8541-7acfc2eb82a3,푸르지오2호점 중앙12호점,푸르지오2호점,컴포즈커피
0c3eb29c-31bd-47ae-9037-667b31e9d340,중앙14호점 힐스테이트14호점,중앙14호점,폴바셋
31ced1bd-dba8-4386-9413-8be2ee9934a8,서부8호점 중앙역14호점,서부8호점,컴포즈커피
